datum,event_code,goldstein_scale,num_sources,geo_country,geo_country_code,geo_lat,geo_long,sourceurls
08-04-18,182,-9.5,2,Germany,GM,51.5,10.5,https://www.efe.com/efe/english/world/police-confirm-3-dead-20-injured-after-truck-rams-crowd-in-germany/50000262-3576624
08-04-18,180,-9,3,"Des Moines, Iowa, United States",US,41.6005,-93.6091,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,180,-9,1,"Des Moines, Iowa, United States",US,41.6005,-93.6091,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,1821,-9,1,"Rotherham, Rotherham, United Kingdom",UK,53.4333,-1.35,https://www.thesun.co.uk/news/5998837/sammy-woodhouse-victim-rotherham-paedo-social-services-police-failure/
08-04-18,180,-9,1,"Bathurst, Banjul, Gambia",GA,13.4531,-16.5775,https://www.westernmagazine.com.au/story/5327914/truck-driver-convicted-over-road-rage-incident-in-bathurst/?cs=1927
08-04-18,180,-9,10,"Istanbul, Istanbul, Turkey",TU,41.0186,28.9647,https://www.chieftain.com/news/violence-claims-more-lives-in-syrian-capital-and-suburbs/article_2ad2703a-3fc1-56fe-9e71-4df1da3ebfb2.html
08-04-18,180,-9,1,,,0,0,http://www.nsnews.com/news/second-kinder-morgan-pipeline-protester-charged-with-assaulting-burnaby-mountie-1.23258911
08-04-18,180,-9,5,,,0,0,http://punchng.com/whistle-blowing-anambra-council-boss-beats-up-worker/
08-04-18,180,-9,1,"Larkhall, South Lanarkshire, United Kingdom",UK,55.7333,-3.96667,http://my.tvguide.co.uk/channellisting.asp?ch=493&cTime=4/8/2018%201:00:00%20AM&thisTime=&thisDay=
08-04-18,186,-10,1,"Kogi, Nigeria (general), Nigeria",NI,12.55,6.63333,http://thenationonlineng.net/cruel-mockery-policing-kogi/
08-04-18,181,-9,1,,,0,0,http://punchng.com/gunmen-abduct-kill-pastor-in-edo/
08-04-18,180,-9,1,"Sioux City, Iowa, United States",US,42.5,-96.4003,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,180,-9,1,"Des Moines, Iowa, United States",US,41.6005,-93.6091,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,180,-9,4,"Colorado, United States",US,39.0646,-105.327,https://www.thedenverchannel.com/news/crime/colorado-officials-say-prison-inmate-assaults-injures-guard
08-04-18,180,-9,4,"Iowa, United States",US,42.0046,-93.214,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,180,-9,2,"Colorado, United States",US,39.0646,-105.327,https://www.thedenverchannel.com/news/crime/colorado-officials-say-prison-inmate-assaults-injures-guard
08-04-18,180,-9,4,"Iowa, United States",US,42.0046,-93.214,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,182,-9.5,35,"Trump Tower, New York, United States",US,40.7625,-73.9744,http://www.fox32chicago.com/news/fire-in-trump-tower
08-04-18,180,-9,2,"Colorado, United States",US,39.0646,-105.327,https://www.thedenverchannel.com/news/crime/colorado-officials-say-prison-inmate-assaults-injures-guard
08-04-18,182,-9.5,1,"Trump Tower, New York, United States",US,40.7625,-73.9744,https://www.nbcnews.com/news/us-news/fire-breaks-out-trump-tower-blaze-out-n863661?cid=public-rss_20180407
08-04-18,1822,-9,1,China,CH,35,105,http://www.penbaypilot.com/article/georges-river-land-trust-welcomes-eight-tibetan-buddhist-refugee-monks/100176
08-04-18,180,-9,1,,,0,0,https://www.hometownsource.com/abc_newspapers/community/anoka/man-sentenced-for-felony-domestic-assault/article_452d2e28-3914-11e8-9e9a-13ca31033606.html
08-04-18,180,-9,72,,,0,0,http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=297&TM=72911.68
08-04-18,180,-9,6,,,0,0,https://www.hometownsource.com/abc_newspapers/community/anoka/man-sentenced-for-felony-domestic-assault/article_452d2e28-3914-11e8-9e9a-13ca31033606.html
08-04-18,1821,-9,1,Ireland,EI,53,-8,https://www.thetimes.co.uk/edition/ireland/are-women-really-allowed-to-say-no-3g0s237zj
08-04-18,180,-9,1,"Moscow, Moskva, Russia",RS,55.7522,37.6156,https://thearabweekly.com/sultan-and-tsar-modern-fairy-tale-ankara
08-04-18,180,-9,1,"Moscow, Moskva, Russia",RS,55.7522,37.6156,https://thearabweekly.com/sultan-and-tsar-modern-fairy-tale-ankara
08-04-18,180,-9,1,"Moscow, Moskva, Russia",RS,55.7522,37.6156,https://thearabweekly.com/sultan-and-tsar-modern-fairy-tale-ankara
08-04-18,180,-9,5,,,0,0,https://www.hometownsource.com/abc_newspapers/community/anoka/man-sentenced-for-felony-domestic-assault/article_452d2e28-3914-11e8-9e9a-13ca31033606.html
08-04-18,1822,-9,1,"Nsawam, Ghana (general), Ghana",GH,5.3,-0.733333,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Confessions-of-some-condemned-prisoners-641294
08-04-18,180,-9,1,"Afrin, ?alab, Syria",SY,36.2251,37.3266,https://thearabweekly.com/sultan-and-tsar-modern-fairy-tale-ankara
08-04-18,180,-9,12,"Ghouta, Dimashq, Syria",SY,33.5,36.3833,https://thearabweekly.com/sultan-and-tsar-modern-fairy-tale-ankara
08-04-18,182,-9.5,1,"Mansehra, North-West Frontier, Pakistan",PK,34.3333,73.2,https://www.thenews.com.pk/print/301897-two-perish-in-mansehra-violence
08-04-18,180,-9,2,,,0,0,https://www.thetimes.co.uk/edition/business/facebook-led-by-mark-zuckerberg-cashes-in-on-data-scandal-jkj2jx7rz
08-04-18,182,-9.5,1,"Florida, United States",US,27.8333,-81.717,https://www.whio.com/news/national/one-dead-four-injured-florida-lightning-strike/eaL9YfQsA46XXbzR04LnKI/
08-04-18,180,-9,3,,,0,0,https://www.dailyrecord.co.uk/news/scottish-news/man-charged-connection-serious-assault-12325867
09-03-18,1831,-10,1,"Herat, Herat, Afghanistan",AF,34.3482,62.1997,http://www.businessinsider.com/r-afghan-air-strike-kills-islamic-state-commander-2018-4
